,y_true,predicted,lower,upper
0,-0.2177145,-0.16239363,-2.5702736,2.2454865
1,-0.13873692,-0.20154792,-2.3722084,1.9691126
2,0.59079164,0.4249736,-1.5778517,2.4277987
3,2.1584222,1.8974891,-0.09063578,3.885614
4,1.7164472,1.7410164,-0.44698572,3.9290185
5,0.727939,0.6343967,-1.4635795,2.7323728
6,-0.009226487,-0.06959927,-2.064647,1.9254484
7,-0.62622535,-0.51497495,-2.4624214,1.4324714
8,-0.9816288,-0.8636892,-2.9117339,1.1843555
9,-1.2286859,-1.1749932,-3.3693166,1.0193304
10,-1.3410722,-1.2385249,-2.5466478,0.06959796
11,-1.2428306,-1.1112542,-1.8864259,-0.33608258
12,-1.0701276,-0.98439693,-2.2870595,0.31826568
13,-0.9171218,-0.90723467,-2.8326015,1.0181321
14,-0.82964617,-0.8586527,-2.9846225,1.2673169
15,-0.54444724,-0.54760516,-2.740889,1.6456786
16,0.67534447,0.6792002,-1.971848,3.3302484
17,2.4389906,2.2186942,-0.52825093,4.965639
18,2.303906,2.192664,-0.82149124,5.206819
19,0.6063579,0.7581184,-2.2539814,3.7702181
20,0.043022297,0.06305641,-2.9759853,3.1020982
21,0.058614314,0.06426573,-2.582808,2.7113395
22,0.121418834,0.18294674,-2.4792573,2.8451507
23,0.14232162,0.014940679,-2.5010655,2.530947
24,-0.36822078,-0.19228059,-2.6922073,2.3076463
25,-0.30805635,-0.3435001,-3.014767,2.3277667
26,0.5305687,0.3361026,-2.3225207,2.9947257
27,2.0709798,1.6897876,-0.8014257,4.1810007
28,1.8400393,1.530638,-0.9901061,4.051382
29,0.9388541,0.6375402,-1.6962472,2.9713278
30,0.12325771,-0.19277942,-2.5417366,2.1561775
31,-0.4301341,-0.6533871,-3.0801008,1.7733266
32,-1.010811,-0.8495134,-3.075193,1.3761662
33,-1.2395533,-1.1568189,-3.6947246,1.3810868
34,-1.3328006,-1.2762289,-2.4031312,-0.14932656
35,-1.2653654,-1.1829727,-1.8855577,-0.4803877
36,-1.0844157,-1.0703582,-2.120877,-0.019839287
37,-0.9346794,-0.9779906,-2.7907696,0.8347882
38,-0.8163161,-0.8963842,-2.8500614,1.0572929
39,-0.57579654,-0.47563556,-2.3852985,1.4340274
40,0.4778132,0.8997855,-1.303298,3.102869
41,2.4270513,2.3963752,-0.21826577,5.011016
42,2.2718124,2.2227392,-0.64195514,5.087434
43,0.69052935,0.63183916,-2.339675,3.6033535
44,0.022235086,0.0025303364,-3.135104,3.1401646
45,0.16062748,0.04491961,-3.0472236,3.137063
46,0.12681693,0.24971908,-2.573859,3.0732973
47,0.021299947,0.12552828,-2.9110856,3.1621423
48,-0.29700786,-0.21483529,-3.4401417,3.0104709
49,-0.35846245,-0.28858066,-3.428493,2.8513317
50,0.46531543,0.3760996,-2.488517,3.2407162
51,2.074487,1.6581817,-1.3700118,4.686375
52,1.8358641,1.6349022,-1.4813764,4.7511806
53,0.8526653,0.63964486,-2.1311994,3.410489
54,0.1365412,0.029346526,-2.6222408,2.6809337
55,-0.53825814,-0.5534489,-3.0907447,1.9838469
56,-0.87261826,-0.8885819,-3.3883333,1.6111697
57,-1.2049063,-1.1842368,-3.900983,1.5325096
58,-1.3273994,-1.3104856,-3.076325,0.45535386
59,-1.2886642,-1.2357179,-2.374021,-0.09741461
60,-1.1229221,-1.1054654,-2.3385873,0.12765658
61,-0.9824499,-0.9698125,-2.8846815,0.94505644
62,-0.8948592,-0.8921045,-3.3187966,1.5345875
63,-0.66917694,-0.6478104,-3.155651,1.8600302
64,-0.4787861,0.50688493,-1.8909954,2.9047651
65,0.66709596,2.3092167,-0.23862529,4.8570585
66,0.99532825,2.392734,-0.4719119,5.25738
67,2.1755612,0.86553633,-1.8634187,3.5944915
68,1.4127587,0.20969623,-2.4572413,2.876634
69,1.5891093,0.32873058,-2.4268224,3.0842836
70,1.6701344,0.46240628,-2.369629,3.2944417
71,1.1751354,0.40316415,-2.6027205,3.4090488
72,1.1153193,0.19424462,-2.8648338,3.253323
73,1.0888109,0.2284866,-2.911417,3.36839
74,1.993959,0.8970785,-2.1951287,3.9892857
75,2.393241,1.6986337,-1.4465749,4.8438425
76,1.4702163,1.2117736,-2.0280054,4.4515524
77,0.5181148,0.11804891,-3.191468,3.4275658
78,-0.3021514,-0.57698035,-3.4590383,2.3050776
79,-0.86614937,-0.991959,-4.136266,2.1523485
80,-1.163008,-1.0612857,-4.466105,2.3435335
81,-1.1853546,-1.1176825,-4.8278813,2.5925164
82,-1.108165,-1.1738633,-3.0554943,0.7077676
83,-1.2170318,-1.1027911,-2.2346191,0.02903688
84,-1.10489,-1.076544,-2.0053234,-0.1477648
85,-1.243866,-1.1393054,-2.4010353,0.12242472
86,-1.2222251,-1.2045927,-2.7038016,0.29461622
87,-1.1254699,-1.1563113,-2.5545692,0.24194682
88,-0.91179943,-0.8466818,-2.5011601,0.80779666
89,-0.37047437,-0.22156852,-2.2909062,1.847769
90,1.0498163,1.2304072,-0.86104226,3.3218567
91,2.016648,2.1257951,-0.12909412,4.3806844
92,2.2139874,2.1424475,-0.42516255,4.7100573
93,1.9290519,1.8337362,-0.84302616,4.5104985
94,1.6102238,1.5692272,-0.9603808,4.098835
95,1.3477058,1.2313563,-1.5678934,4.030606
96,0.99602437,0.99771833,-2.2286549,4.2240915
97,0.9152387,0.82436335,-2.2869587,3.9356852
98,0.62913996,0.57922816,-2.3937838,3.5522401
99,0.3779197,0.28067672,-2.7645597,3.3259134
100,-1.588704,-0.26135394,-3.3350685,2.8123605
101,-1.835063,-1.2186444,-4.093131,1.6558423
102,-1.971362,-1.8248663,-4.66249,1.0127575
103,-1.6089299,-1.7371107,-4.581494,1.1072723
104,-1.1152128,-1.434543,-4.203592,1.3345057
105,-0.93772006,-1.4097803,-4.6758184,1.8562582
106,-0.9665121,-1.363457,-4.001069,1.2741549
107,-0.850166,-1.3346994,-3.5581312,0.88873243
108,-0.90528095,-1.2966733,-3.4398193,0.84647274
109,-1.3753519,-1.4465308,-3.4620895,0.5690279
110,-1.6063569,-1.4261575,-3.5849686,0.7326536
111,-1.504383,-1.2636287,-3.4873965,0.96013904
112,-1.1388344,-0.9507532,-3.3557997,1.4542933
113,-0.6241791,-0.5288348,-2.7692719,1.7116022
114,0.84831095,0.59846556,-2.1299653,3.3268967
115,2.0993779,1.8767385,-1.0387514,4.7922287
116,2.2204576,2.193748,-0.3796115,4.7671075
117,2.0871859,1.8897002,-0.95070004,4.7301006
118,1.736953,1.6269617,-1.3947208,4.6486444
119,1.4744743,1.3040593,-1.4917431,4.0998616
120,1.3053541,1.0772119,-1.6390309,3.7934546
121,1.0686046,0.7506771,-2.0605729,3.561927
122,0.6338072,0.6504117,-2.053914,3.3547373
123,0.44976312,0.081558466,-2.662674,2.825791
124,0.17728066,-0.6652167,-3.4052575,2.074824
125,-0.41971374,-1.3280503,-3.9419632,1.2858626
126,-2.408497,-1.7512883,-4.519381,1.0168046
127,-2.1211205,-1.6580827,-4.1230106,0.80684495
128,-1.7352674,-1.6034966,-4.0940933,0.8871
129,-1.6288809,-1.5028241,-4.2614384,1.25579
130,-1.530741,-1.4528105,-2.536875,-0.36874604
131,-1.3698571,-1.2291532,-2.211239,-0.24706721
132,-1.1426556,-1.0664556,-2.1486597,0.015748382
133,-0.9710634,-0.9904617,-2.3865452,0.40562177
134,-0.80814964,-0.8589661,-2.4175794,0.6996472
135,-0.5446412,-0.62046933,-2.5443838,1.3034451
136,0.9794238,0.7766744,-1.0751219,2.6284707
